,Company,CEO,search
0,AALTO UNIVERSITY,CEO,"['https://www.aalto.fi/en/aalto-university/governance-president#:~:text=At%20Aalto%20University%2C%20president%20also,the%20president%20of%20Aalto%20University.', 'https://www.aalto.fi/en/aalto-university/management', 'https://www.aalto.fi/en/lifewide-learning-courses-and-programmes/aalto-ceo-circle', 'https://www.aalto.fi/en/aalto-university/board', 'https://www.aaltoee.fi/en/programs/aalto-ceo-circle']"
1,ADIONICS,CEO,"['https://fr.linkedin.com/company/adionics', 'https://www.adionics.com/conference-of-gabriel-toffani/', 'https://www.linkedin.com/posts/gabriel-toffani_we-are-thrilled-to-announce-a-breakthrough-activity-7161041269845082113-c8Gd', 'https://www.adionics.com/about-us/adionics-history/', 'https://www.worldbusinessoutlook.com/adionics-secures-usd27mn-in-series-b-funding/']"
2,AECOM,CEO,"['https://aecom.com/about-us/our-leadership/', 'https://investors.aecom.com/management/w-troy-rudd', 'https://www.linkedin.com/in/troy-rudd-11b93290', 'https://en.wikipedia.org/wiki/AECOM', 'https://aecom.com/press-releases/aecom-announced-today-that-its-board-of-directors-has-elected-aecom-president-michael-s-burke-50-to-succeed-john-m-dionisio-65-as-chief-executive-officer-ceo-as-part-of-a-planned-succession-p/']"
3,AIR LIQUIDE,CEO,"['https://www.airliquide.com/group/executive-committee#:~:text=Fran%C3%A7ois%20Jackow%20was%20appointed%20the,Officer%20on%20June%201%2C%202022.', 'https://br.linkedin.com/in/alexandre-bassaneze-4b20a32', 'https://www.airliquide.com/group/board-directors', 'https://www.airliquide.com/group/press-releases-news/2023-06-07/evolutions-within-air-liquides-executive-committee-starting-september-1-2023', 'https://www.saudebusiness.com/carreiras/alexandre-bassaneze-ceo-da-air-liquide-brasil-e-premiado-entre-os-100-mais-influentes-da']"
4,ALBEMARLE,CEO,"['https://www.albemarle.com/newsalbemarle-corporation-ceo-kent-masters-named-to-barrons-top-ceos-of-2023#:~:text=ALBEMARLE%20CORPORATION%20CEO%20KENT%20MASTERS,TOP%20CEOS%20OF%202023%20%7C%20Albemarle', 'https://www.albemarle.com/about/leadership', 'https://www.prnewswire.com/news-releases/albemarle-corporation-ceo-kent-masters-named-to-barrons-top-ceos-of-2023-301863747.html', 'https://www.wsj.com/market-data/quotes/ALB/company-people/executive-profile/5977007', 'https://www.albemarle.com/news/albemarle-announces-new-leadership-at-ketjen']"
5,AMECA MINING,CEO,"['https://www.amecamining.com/investors', 'https://www.amecaglobal.com/team', 'https://lk.linkedin.com/in/nortonfernando', 'https://www.linkedin.com/posts/jakebaugh_ameca-building-a-better-future-from-the-activity-7064207945646911489-L3kH', 'https://americanpacificmining.com/team/']"
6,ARGOSY MINERALS LIMITED,CEO,"['https://www.argosyminerals.com.au/board-and-management#:~:text=Jerko%20Zuvela%20is%20a%20Chartered,the%20mining%20and%20resources%20industry.', 'https://au.linkedin.com/in/jerko-zuvela-7836bb73', 'https://www.argosyminerals.com.au/corporate-directory', 'https://simplywall.st/stocks/au/materials/asx-agy/argosy-minerals-shares/management', 'https://www.bloomberg.com/profile/person/17501122']"
7,AURUBIS,CEO,"['https://www.aurubis.com/en/about-us/management/executive-board', 'https://www.aurubis.com/en/about-us/management/executive-board/cv-roland-harings', 'https://www.aurubis.com/en/about-us/management', 'https://www.aurubis.com/en/media/press-releases/press-releases-2024/aurubis-restructures-executive-board', 'https://de.linkedin.com/in/roland-harings-b02b32']"
8,AVZ MINERALS LIMITED,CEO,"['https://avzminerals.com.au/board#:~:text=Nigel%20Ferguson&text=He%20has%20experience%20in%20the,East%20Asia%20and%20Central%20America.', 'https://au.linkedin.com/in/nigel-ferguson-ba521a187', 'https://avzminerals.com.au/corporate-directory', 'https://www.bloomberg.com/profile/person/15104101', 'https://uk.linkedin.com/in/john-clarke-9355702a']"
9,BASS METALS LTD,CEO,"['https://www.bloomberg.com/profile/person/18899240', 'https://www.marketscreener.com/quote/stock/GREENWING-RESOURCES-LTD-10354448/news/Bass-Metals-Ltd-Announces-New-Management-Appointments-35407211/', 'https://sports.yahoo.com/bass-metals-asx-bsm-ceo-205138128.html', 'https://m.youtube.com/watch?v=uf1cxEcbGYY', 'https://www.zoominfo.com/c/bass-metals-ltd/18272080']"
